"Region","Country","Study","Unique Sites","N","Period","Unique K loci","Unique O types"
"Eastern Africa","All","-",11,1119,"-",60,11
"Eastern Africa","Ethiopia","BARNARDS",1,94,"2017-2017",11,4
"Eastern Africa","Ethiopia","MBIRA",1,30,"2021-2021",10,6
"Eastern Africa","Kenya","Kilifi",1,168,"2013-2023",43,10
"Eastern Africa","Kenya","NeoBAC",2,66,"2021-2022",5,3
"Eastern Africa","Malawi","MBIRA",1,22,"2020-2021",11,4
"Eastern Africa","Malawi","MLW",1,362,"2013-2020",35,10
"Eastern Africa","Rwanda","BARNARDS",1,15,"2016-2017",6,3
"Eastern Africa","Tanzania","MBIRA",1,57,"2021-2021",5,3
"Eastern Africa","Zambia","MBIRA",1,19,"2021-2021",10,6
"Eastern Africa","Zambia","SPINZ",1,286,"2015-2017",13,7
"Southern Africa","All","-",10,244,"-",33,8
"Southern Africa","Botswana","NIMBIplus",1,29,"2022-2023",8,7
"Southern Africa","South Africa","BARNARDS",1,12,"2016-2017",8,4
"Southern Africa","South Africa","BabyGERMS",6,143,"2019-2020",24,8
"Southern Africa","South Africa","GBS",1,50,"2019-2020",12,6
"Southern Africa","South Africa","MBIRA",1,10,"2021-2021",6,3
"Western Africa","All","-",3,76,"-",27,9
"Western Africa","Ghana","MBIRA",1,26,"2020-2021",14,7
"Western Africa","Nigeria","BARNARDS",2,50,"2016-2017",18,8
"Southern Asia","All","-",11,491,"-",63,12
"Southern Asia","Bangladesh","BARNARDS",1,17,"2016-2017",12,8
"Southern Asia","Bangladesh","CHRF",3,289,"2013-2021",41,10
"Southern Asia","India","DH",1,34,"2019-2022",8,8
"Southern Asia","India","NeoOBS-India",2,64,"2019-2020",26,9
"Southern Asia","Pakistan","AKU",3,57,"2023-2023",26,9
"Southern Asia","Pakistan","BARNARDS",1,30,"2016-2017",9,6
"Total","-","-",35,1930,"-",87,14
